YPF-00000005        ,M,ACEITE 2T - 100 CM3                                         ,RE2T           ,YPF-ELAION          ,YPF-00000005.jpg              ,0
BAJ-24121245        ,M,ACOPLE                                                      ,4T GLP         ,BAJAJ               ,BAJ-24121245.png              ,0
BAJ-AA101479        ,M,ACTUADOR DE EMBRAGUE                                        ,RE4T           ,BAJAJ               ,BAJ-AA101479.jpg              ,0
MRP-03120210        ,H,AGUJA DE FLOTADOR                                           ,RE2T           ,MRP                 ,MRP-03120210.jpg              ,0
END-AB171044        ,M,AMORTIGUADOR DELANTERO BAJAJ                                ,RE2T. RE4T     ,ENDURANCE           ,END-AB171044.jpg              ,0
END-G2100010        ,M,AMORTIGUADOR DELANTERO TVS KING                             ,TVS KING       ,ENDURANCE           ,END-G2100010.jpg              ,0
END-24171094        ,M,AMORTIGUADOR POSTERIOR BAJAJ                                ,RE2T. RE4T     ,ENDURANCE           ,END-24171094.jpg              ,0
END-JL122006        ,M,AMORTIGUADOR POSTERIOR MONOSHOX                             ,PULSAR 220     ,ENDURANCE           ,END-JL122006.jpg              ,0
END-G2090100        ,M,AMORTIGUADOR POSTERIOR TVS KING                             ,TVS KING       ,ENDURANCE           ,END-G2090100.jpg              ,0
SAM-22101242/025    ,M,ANILLO (1.5MM) 2T - 0.25                                    ,RE2T           ,SAM                 ,SAM-22101242_025.jpg          ,0
SAM-22101242        ,M,ANILLO (1.5MM) 2T - STD                                     ,RE2T           ,SAM                 ,SAM-22101242.jpg              ,0
SAM-22101211/025    ,M,ANILLO (2.5MM) 2T - 0.25                                    ,RE2T           ,SAM                 ,SAM-22101211_025.jpg          ,0
SAM-22101211/050    ,M,ANILLO (2.5MM) 2T - 0.50                                    ,RE2T           ,SAM                 ,SAM-22101211_050.jpg          ,0
SAM-22101211        ,M,ANILLO (2.5MM) 2T - STD                                     ,RE2T           ,SAM                 ,SAM-22101211.jpg              ,0
MRP-15101122        ,H,ANILLO DE TUBO ESCAPE 2T                                    ,RE2T           ,MRP                 ,MRP-15101122.jpg              ,0
MRP-00000001        ,H,ANILLO DE TUBO ESCAPE 4T                                    ,RE4T           ,MRP                 ,MRP-00000001.jpg              ,0
SAM-36AN0012/025    ,M,ANILLO FL GLP - 0.25                                        ,RE FL          ,SAM                 ,SAM-36AN0012_025.jpg          ,0
SAM-36AN0012/050    ,M,ANILLO FL GLP - 0.50                                        ,RE FL          ,SAM                 ,SAM-36AN0012_050.jpg          ,0
SAM-AN101066/025    ,M,ANILLO RE205 - 0.25                                         ,RE205          ,SAM                 ,SAM-AN101066_025.jpg          ,0
SAM-AN101066/050    ,M,ANILLO RE205 - 0.50                                         ,RE206          ,SAM                 ,SAM-AN101066_050.jpg          ,0
ATM-39020011        ,M,ANILLO TUBO ESCAPE 2T FL                                    ,RE2T FL        ,ATMAK               ,ATM-39020011.png              ,0
SAM-G4320650        ,M,ANILLO TVS KING 0.25                                        ,TVS KING       ,SAM                 ,SAM-G4320650.jpg              ,0
SAM-G4320660        ,M,ANILLO TVS KING 0.50                                        ,TVS KING       ,SAM                 ,SAM-G4320660.jpg              ,0
SAM-G4320640        ,M,ANILLO TVS KING STD                                         ,TVS KING       ,SAM                 ,SAM-G4320640.jpg              ,0
MRP-AA101055        ,H,ARANDELA DE APOYO  MAIN SHAFT                               ,RE175          ,MRP                 ,MRP-AA101055.jpg              ,0
BAJ-AA101058        ,M,ARANDELA DE PIÑON DOBLE                                     ,TORITO 4T 175. ,BAJAJ               ,BAJ-AA101058.jpg              ,0
VAR-AA111082        ,M,ARMADURA DE ARRANCADOR                                      ,RE4T           ,VARROC              ,VAR-AA111082.jpg              ,0
LUC-G4320560        ,M,ARMADURA TVS KING                                           ,TVS KING       ,LUCAS               ,LUC-G4320560.jpg              ,0
ATM-22151090        ,M,ARO DE RUEDA                                                ,RE2T. RE4T     ,ATMAK               ,ATM-22151090.jpg              ,0
VAR-22151090        ,M,ARO DE RUEDA MODERNO                                        ,RE2T. RE4T     ,VARROC              ,VAR-22151090.jpg              ,0
VAR-AB111001        ,M,ARRANCADOR COMPLETO 205                                     ,RE175. RE205   ,VARROC              ,VAR-AB111001.jpg              ,0
VAR-AP111007        ,M,ARRANCADOR COMPLETO 2T FL                                   ,RE2T FL        ,VARROC              ,VAR-AP111007.jpg              ,0
VAR-AF111021        ,M,ARRANCADOR COMPLETO FL                                      ,RE FL          ,VARROC              ,VAR-AF111021.jpg              ,0
LUC-G4060170        ,M,ARRANCADOR COMPLETO TVS KING                                ,TVS KING       ,LUCAS               ,LUC-G4060170.jpg              ,0
BAJ-28101129        ,M,ASIENTO DE RESORTE DE VALVULA                               ,TORITO 4T 205  ,BAJAJ               ,BAJ-28101129.jpg              ,0
BAJ-31101020        ,M,BALANCIN                                                    ,RE205. 175     ,BAJAJ               ,BAJ-31101020.jpg              ,0
BAJ-DK101755        ,M,BALANCINES                                                  ,REFL - PUL180  ,BAJAJ               ,BAJ-DK101755.jpg              ,0
BAJ-AA131033        ,M,BASE PIÑON PLANETARIO                                       ,RE205          ,BAJAJ               ,BAJ-AA131033.jpg              ,0
BAJ-AA101819        ,M,BASE SELECTOR CAMBIO                                        ,REFL           ,BAJAJ               ,BAJ-AA101819.jpg              ,0
VAR-AA111083        ,M,BENDIX 175                                                  ,RE2T. RE4T     ,VARROC              ,VAR-AA111083.jpg              ,0
VAR-AP101032        ,M,BENDIX 2T FL                                                ,RE2T FL        ,VARROC              ,VAR-AP101032.jpg              ,0
ATM-AA111094        ,M,BENDIX MODERNO                                              ,RE175.RE205. FL,ATMAK               ,ATM-AA111094.jpg              ,0
VAR-AA111094        ,M,BENDIX MODERNO                                              ,RE175.RE205. FL,VARROC              ,VAR-AA111094.jpg              ,0
LUC-G4320570        ,M,BENDIX TVS KING                                             ,TVS KING       ,LUCAS               ,LUC-G4320570.jpg              ,0
BAJ-CX141044        ,M,BILLA DE ACERO GLP-GNV                                      ,4T GNV - GLP   ,BAJAJ               ,BAJ-CX141044.png              ,0
BAJ-30101197        ,M,BILLA DE VARILLA EMPUJE                                     ,RE4T           ,BAJAJ               ,BAJ-30101197.jpg              ,0
NAC-00000001        ,H,BISAGRA DELANTERA DERECHA                                   ,RE2T. RE4T     ,MRP                 ,NAC-00000001.jpg              ,0
NAC-00000002        ,H,BISAGRA DELANTERA IZQUIERDA                                 ,RE2T. RE4T     ,MRP                 ,NAC-00000002.jpg              ,0
BAJ-BA132141        ,M,BLOQUE DESLIZANTE                                           ,RE205          ,BAJAJ               ,BAJ-BA132141.jpg              ,0
VAR-24111108        ,M,BOBINA  ALTA 2T FL MOD.                                     ,RE2T FL        ,VARROC              ,VAR-24111108.jpg              ,0
SPM-AE111006        ,M,BOBINA ALTA 2T 5L ANTIGUA                                   ,RE2T           ,SPARK MINDA         ,SPM-AE111006.jpg              ,0
SPM-24111121        ,M,BOBINA ALTA 2T 5L MODERNA                                   ,RE2T           ,SPARK MINDA         ,SPM-24111121.jpg              ,0
VAR-AN111017        ,M,BOBINA ALTA 4T FL                                           ,REFL           ,VARROC              ,VAR-AN111017.jpg              ,0
VAR-AF111012        ,M,BOBINA ALTA 4T MOD.                                         ,RE205          ,VARROC              ,VAR-AF111012.jpg              ,0
MRP-AE111006        ,H,BOBINA ALTA 5L                                              ,RE2T           ,MRP                 ,MRP-AE111006.jpg              ,0
VAR-24111099        ,M,BOBINA CARGA                                                ,RE2T           ,VARROC              ,VAR-24111099.jpg              ,0
BAJ-AF111010        ,M,BOBINA DE ALTA MOD.                                         ,RE205          ,BAJAJ               ,BAJ-AF111010.jpg              ,0
MRP-08111018        ,H,BOBINA DE CARGA 5L DESDE MAY'00 HAS SEP'04                  ,RE2T           ,MRP                 ,                              ,0
MRP-24111087        ,H,BOBINA DE LUZ #1 5L DESDE MAY'00 HAST SEP'04                ,RE2T           ,MRP                 ,                              ,0
VAR-AA111052        ,M,BOBINA DE PIQUE (NEGRA)                                     ,RE2T           ,VARROC              ,VAR-AA111052.jpg              ,0
VAR-00000008        ,M,BOBINA DE PIQUE 2T FL                                       ,RE2T FL        ,VARROC              ,                              ,0
BAJ-AB171016        ,M,BOCINA BOCAMAZA DEL.                                        ,RE2T. RE4T     ,BAJAJ               ,BAJ-AB171016.jpg              ,0
ATM-AB171016        ,M,BOCINA BOCAMAZA DELANTERA                                   ,RE2T. RE4T     ,ATMAK               ,ATM-AB171016.jpg              ,0
MRP-AA101215        ,H,BOCINA CHICA                                                ,RE2T. RE4T     ,MRP                 ,MRP-AA101215.jpg              ,0
VAR-AB171016        ,M,BOCINA DE AMORTIGUADOR DELANTERO ANTIDIVE                   ,RE4T           ,VARROC              ,VAR-AB171016.jpg              ,0
ATM-AB171020        ,M,BOCINA PIN PIVOT ANTIDIVE                                   ,RE2T. RE4T     ,ATMAK               ,ATM-AB171020.jpg              ,0
VAR-AA171006        ,M,BOCINA TRAPECIO                                             ,RE2T. RE4T     ,VARROC              ,VAR-AA171006.jpg              ,0
BAJ-AA171006        ,M,BOCINA TRAPECIO                                             ,RE4T           ,BAJAJ               ,BAJ-AA171006.jpg              ,0
